%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0666     4.8539e-13              0    -1.2574e-13              0     4.3143e-13              0     1.2574e-13              0     4.9207e-13
    0.0669      4.895e-13              0    -1.0739e-13              0     4.3894e-13              0     1.0739e-13              0     5.0188e-13
    0.0672      4.892e-13              0      -8.87e-14              0     4.4679e-13              0       8.87e-14              0     5.0347e-13
    0.0675     4.8466e-13              0     -7.132e-14              0     4.5455e-13              0      7.132e-14              0     4.9696e-13
    0.0678     4.7644e-13              0    -5.6785e-14              0     4.6182e-13              0     5.6785e-14              0     4.8318e-13
    0.0681     4.6544e-13              0    -4.6377e-14              0     4.6821e-13              0     4.6377e-14              0     4.6363e-13
    0.0684     4.5279e-13              0    -4.1015e-14              0     4.7343e-13              0     4.1015e-14              0     4.4033e-13
    0.0687     4.3979e-13              0    -4.1165e-14              0     4.7728e-13              0     4.1165e-14              0     4.1565e-13
     0.069     4.2778e-13              0    -4.6802e-14              0     4.7969e-13              0     4.6802e-14              0     3.9207e-13
    0.0693     4.1799e-13              0    -5.7405e-14              0     4.8069e-13              0     5.7405e-14              0       3.72e-13
    0.0696     4.1149e-13              0    -7.2007e-14              0     4.8045e-13              0     7.2007e-14              0     3.5753e-13
    0.0699     4.0902e-13              0    -8.9275e-14              0     4.7926e-13              0     8.9275e-14              0     3.5025e-13
    0.0702     4.1099e-13              0    -1.0763e-13              0     4.7748e-13              0     1.0763e-13              0     3.5113e-13
    0.0705     4.1738e-13              0     -1.254e-13              0     4.7552e-13              0      1.254e-13              0     3.6038e-13
    0.0708      4.278e-13              0    -1.4094e-13              0     4.7381e-13              0     1.4094e-13              0     3.7749e-13
    0.0711     4.4148e-13              0    -1.5281e-13              0     4.7275e-13              0     1.5281e-13              0     4.0121e-13
    0.0714     4.5733e-13              0    -1.5989e-13              0     4.7269e-13              0     1.5989e-13              0      4.297e-13
    0.0717     4.7409e-13              0    -1.6149e-13              0     4.7388e-13              0     1.6149e-13              0     4.6068e-13
     0.072     4.9038e-13              0    -1.5739e-13              0     4.7646e-13              0     1.5739e-13              0     4.9165e-13
    0.0723     5.0489e-13              0    -1.4791e-13              0     4.8043e-13              0     1.4791e-13              0     5.2007e-13
    0.0726     5.1641e-13              0    -1.3383e-13              0     4.8568e-13              0     1.3383e-13              0     5.4363e-13
    0.0729     5.2404e-13              0    -1.1636e-13              0     4.9196e-13              0     1.1636e-13              0     5.6044e-13
    0.0732     5.2719e-13              0       -9.7e-14              0     4.9895e-13              0        9.7e-14              0      5.692e-13
    0.0735     5.2568e-13              0    -7.7443e-14              0     5.0622e-13              0     7.7443e-14              0     5.6933e-13
