%     time            U11            U12            U13            U21            U22            U23            U31            U32            U33
    0.0424     2.9129e-11       1.05e-30              0              0     2.9129e-11              0              0              0     2.6641e-10
    0.0426     3.0959e-11       9.56e-31              0              0     3.0959e-11              0              0              0     2.7263e-10
    0.0428     3.2822e-11     8.5919e-31              0              0     3.2822e-11              0              0              0     2.7833e-10
     0.043     3.4711e-11     7.6455e-31              0              0     3.4711e-11              0              0              0      2.835e-10
    0.0432     3.6617e-11     6.7656e-31              0              0     3.6617e-11              0              0              0     2.8816e-10
    0.0434     3.8531e-11     5.9902e-31              0              0     3.8531e-11              0              0              0     2.9229e-10
    0.0436     4.0444e-11     5.3481e-31              0              0     4.0444e-11              0              0              0     2.9591e-10
    0.0438     4.2343e-11     4.8581e-31              0              0     4.2343e-11              0              0              0     2.9904e-10
     0.044      4.422e-11      4.528e-31              0              0      4.422e-11              0              0              0      3.017e-10
    0.0442     4.6063e-11     4.3551e-31              0              0     4.6063e-11              0              0              0      3.039e-10
    0.0444     4.7862e-11      4.327e-31              0              0     4.7862e-11              0              0              0     3.0568e-10
    0.0446     4.9604e-11     4.4228e-31              0              0     4.9604e-11              0              0              0     3.0707e-10
    0.0448      5.128e-11     4.6149e-31              0              0      5.128e-11              0              0              0     3.0809e-10
     0.045      5.288e-11     4.8714e-31              0              0      5.288e-11              0              0              0     3.0879e-10
    0.0452     5.4393e-11     5.1579e-31              0              0     5.4393e-11              0              0              0      3.092e-10
    0.0454      5.581e-11     5.4403e-31              0              0      5.581e-11              0              0              0     3.0936e-10
    0.0456     5.7122e-11     5.6864e-31              0              0     5.7122e-11              0              0              0     3.0929e-10
    0.0458     5.8321e-11     5.8683e-31              0              0     5.8321e-11              0              0              0     3.0904e-10
     0.046       5.94e-11     5.9636e-31              0              0       5.94e-11              0              0              0     3.0865e-10
    0.0462     6.0351e-11     5.9566e-31              0              0     6.0351e-11              0              0              0     3.0813e-10
    0.0464     6.1168e-11     5.8387e-31              0              0     6.1168e-11              0              0              0     3.0752e-10
    0.0466     6.1847e-11     5.6091e-31              0              0     6.1847e-11              0              0              0     3.0685e-10
    0.0468     6.2382e-11     5.2739e-31              0              0     6.2382e-11              0              0              0     3.0614e-10
     0.047     6.2771e-11     4.8455e-31              0              0     6.2771e-11              0              0              0     3.0542e-10
    0.0472     6.3011e-11     4.3418e-31              0              0     6.3011e-11              0              0              0     3.0471e-10
    0.0474       6.31e-11     3.7844e-31              0              0       6.31e-11              0              0              0     3.0401e-10
    0.0476     6.3037e-11     3.1974e-31              0              0     6.3037e-11              0              0              0     3.0334e-10
    0.0478     6.2823e-11     2.6055e-31              0              0     6.2823e-11              0              0              0     3.0272e-10
     0.048      6.246e-11     2.0327e-31              0              0      6.246e-11              0              0              0     3.0215e-10
    0.0482     6.1949e-11     1.5009e-31              0              0     6.1949e-11              0              0              0     3.0164e-10
    0.0484     6.1293e-11     1.0285e-31              0              0     6.1293e-11              0              0              0     3.0118e-10
    0.0486     6.0497e-11     6.2923e-32              0              0     6.0497e-11              0              0              0     3.0078e-10
    0.0488     5.9565e-11     3.1225e-32              0              0     5.9565e-11              0              0              0     3.0044e-10
     0.049     5.8503e-11     8.1195e-33              0              0     5.8503e-11              0              0              0     3.0016e-10
    0.0492     5.7317e-11    -6.5473e-33              0              0     5.7317e-11              0              0              0     2.9992e-10
    0.0494     5.6013e-11    -1.3414e-32              0              0     5.6013e-11              0              0              0     2.9974e-10
    0.0496     5.4598e-11    -1.3539e-32              0              0     5.4598e-11              0              0              0     2.9959e-10
    0.0498      5.308e-11    -8.3124e-33              0              0      5.308e-11              0              0              0     2.9947e-10
      0.05     5.1466e-11     6.4858e-34              0              0     5.1466e-11              0              0              0     2.9938e-10
    0.0502     4.9763e-11     1.1611e-32              0              0     4.9763e-11              0              0              0     2.9931e-10
    0.0504     4.7978e-11     2.2841e-32              0              0     4.7978e-11              0              0              0     2.9925e-10
    0.0506     4.6118e-11     3.2711e-32              0              0     4.6118e-11              0              0              0     2.9919e-10
    0.0508     4.4189e-11     3.9797e-32              0              0     4.4189e-11              0              0              0     2.9912e-10
     0.051     4.2197e-11     4.2957e-32              0              0     4.2197e-11              0              0              0     2.9904e-10
    0.0512     4.0144e-11      4.139e-32              0              0     4.0144e-11              0              0              0     2.9893e-10
    0.0514     3.8037e-11     3.4665e-32              0              0     3.8037e-11              0              0              0     2.9879e-10
    0.0516     3.5875e-11     2.2736e-32              0              0     3.5875e-11              0              0              0     2.9861e-10
    0.0518     3.3662e-11     5.9225e-33              0              0     3.3662e-11              0              0              0     2.9838e-10
     0.052     3.1395e-11    -1.5125e-32              0              0     3.1395e-11              0              0              0     2.9809e-10
    0.0522     2.9074e-11    -3.9482e-32              0              0     2.9074e-11              0              0              0     2.9773e-10
    0.0524     2.6695e-11     -6.602e-32              0              0     2.6695e-11              0              0              0     2.9729e-10
    0.0526     2.4255e-11    -9.3484e-32              0              0     2.4255e-11              0              0              0     2.9676e-10
    0.0528     2.1745e-11    -1.2058e-31              0              0     2.1745e-11              0              0              0     2.9612e-10
     0.053     1.9161e-11    -1.4605e-31              0              0     1.9161e-11              0              0              0     2.9538e-10
    0.0532     1.6492e-11    -1.6875e-31              0              0     1.6492e-11              0              0              0      2.945e-10
    0.0534      1.373e-11    -1.8774e-31              0              0      1.373e-11              0              0              0     2.9349e-10
    0.0536     1.0864e-11    -2.0227e-31              0              0     1.0864e-11              0              0              0     2.9233e-10
    0.0538     7.8839e-12     -2.119e-31              0              0     7.8839e-12              0              0              0       2.91e-10
     0.054     4.7788e-12    -2.1644e-31              0              0     4.7788e-12              0              0              0      2.895e-10
    0.0542     1.5381e-12    -2.1602e-31              0              0     1.5381e-12              0              0              0     2.8781e-10
    0.0544    -1.8479e-12    -2.1098e-31              0              0    -1.8479e-12              0              0              0     2.8592e-10
    0.0546    -5.3881e-12    -2.0194e-31              0              0    -5.3881e-12              0              0              0     2.8381e-10
    0.0548    -9.0895e-12    -1.8967e-31              0              0    -9.0895e-12              0              0              0     2.8147e-10
     0.055    -1.2957e-11    -1.7509e-31              0              0    -1.2957e-11              0              0              0      2.789e-10
    0.0552    -1.6993e-11    -1.5916e-31              0              0    -1.6993e-11              0              0              0     2.7608e-10
    0.0554    -2.1196e-11    -1.4288e-31              0              0    -2.1196e-11              0              0              0       2.73e-10
    0.0556    -2.5562e-11    -1.2716e-31              0              0    -2.5562e-11              0              0              0     2.6966e-10
    0.0558    -3.0081e-11    -1.1283e-31              0              0    -3.0081e-11              0              0              0     2.6605e-10
     0.056     -3.474e-11    -1.0055e-31              0              0     -3.474e-11              0              0              0     2.6216e-10
    0.0562    -3.9519e-11    -9.0802e-32              0              0    -3.9519e-11              0              0              0     2.5799e-10
    0.0564    -4.4394e-11    -8.3864e-32              0              0    -4.4394e-11              0              0              0     2.5355e-10
    0.0566    -4.9334e-11    -7.9801e-32              0              0    -4.9334e-11              0              0              0     2.4882e-10
    0.0568    -5.4302e-11    -7.8477e-32              0              0    -5.4302e-11              0              0              0     2.4383e-10
     0.057    -5.9254e-11    -7.9568e-32              0              0    -5.9254e-11              0              0              0     2.3856e-10
