%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
       158    -1.5773e-10             -0    -5.8629e-11             -0      1.384e-10              0     2.1644e-10              0     3.8574e-10
       159    -1.5575e-10             -0    -5.1824e-11             -0     1.9767e-10              0     2.1679e-10              0     3.9842e-10
       160    -1.5215e-10             -0    -4.4421e-11             -0     2.5462e-10              0     2.1526e-10              0     4.0678e-10
       161    -1.4692e-10             -0     -3.648e-11             -0      3.087e-10              0     2.1188e-10              0     4.1083e-10
       162    -1.4009e-10             -0    -2.8062e-11             -0     3.5938e-10              0     2.0671e-10              0     4.1059e-10
       163     -1.317e-10             -0     -1.923e-11             -0     4.0615e-10              0     1.9983e-10              0     4.0615e-10
       164    -1.2178e-10             -0    -1.0058e-11             -0     4.4858e-10              0     1.9132e-10              0     3.9763e-10
       165    -1.1042e-10             -0    -6.1592e-13             -0     4.8626e-10              0     1.8129e-10              0     3.8517e-10
       166    -9.7665e-11             -0      9.017e-12             -0     5.1884e-10              0     1.6986e-10              0       3.69e-10
       167     -8.364e-11             -0     1.8765e-11             -0     5.4601e-10              0     1.5717e-10              0     3.4933e-10
       168    -6.8428e-11             -0     2.8547e-11             -0     5.6753e-10              0     1.4336e-10              0     3.2643e-10
       169    -5.2156e-11             -0     3.8283e-11             -0     5.8321e-10              0     1.2857e-10              0     3.0059e-10
       170    -3.4944e-11             -0     4.7893e-11             -0     5.9292e-10              0     1.1298e-10              0     2.7214e-10
       171    -1.6934e-11             -0     5.7297e-11             -0      5.966e-10              0     9.6738e-11              0     2.4141e-10
       172     1.7329e-12              0     6.6416e-11              0     5.9423e-10              0     8.0026e-11              0     2.0877e-10
       173     2.0901e-11              0     7.5174e-11              0     5.8587e-10              0     6.3017e-11              0     1.7457e-10
       174     4.0417e-11              0     8.3497e-11              0     5.7164e-10              0     4.5881e-11              0      1.392e-10
       175     6.0115e-11              0     9.1316e-11              0      5.517e-10              0     2.8794e-11              0     1.0305e-10
       176     7.9829e-11              0     9.8562e-11              0     5.2629e-10              0     1.1926e-11              0     6.6497e-11
       177     9.9401e-11              0     1.0518e-10              0      4.957e-10              0    -4.5581e-12             -0      2.994e-11
       178     1.1866e-10              0      1.111e-10              0     4.6025e-10              0    -2.0498e-11             -0    -6.2565e-12
       179     1.3744e-10              0     1.1628e-10              0     4.2033e-10              0    -3.5742e-11             -0    -4.1718e-11
       180     1.5559e-10              0     1.2067e-10              0     3.7636e-10              0    -5.0148e-11             -0    -7.6099e-11
       181     1.7294e-10              0     1.2423e-10              0     3.2882e-10              0    -6.3583e-11             -0    -1.0906e-10
       182     1.8935e-10              0     1.2693e-10              0     2.7819e-10              0    -7.5928e-11             -0    -1.4029e-10
       183     2.0468e-10              0     1.2874e-10              0       2.25e-10              0    -8.7076e-11             -0    -1.6949e-10
       184     2.1878e-10              0     1.2965e-10              0     1.6982e-10              0    -9.6934e-11             -0     -1.964e-10
       185     2.3154e-10              0     1.2964e-10              0     1.1319e-10              0    -1.0542e-10             -0    -2.2078e-10
