%        w           SX11           SX12           SX13           SX21           SX22           SX23           SX31           SX32           SX33
       247     -0.0017803              0      -0.007913              0     -0.0043196              0      -0.007913              0     -0.0023631
       248    -0.00086277              0     -0.0072817              0     -0.0042417              0     -0.0072817              0     -0.0027781
       249     2.0587e-05              0      -0.006579              0     -0.0041355              0      -0.006579              0     -0.0031679
       250     0.00086339              0     -0.0058102              0     -0.0040016              0     -0.0058102              0     -0.0035282
       251      0.0016598              0     -0.0049812              0     -0.0038411              0     -0.0049812              0     -0.0038548
       252      0.0024047              0     -0.0040985              0     -0.0036549              0     -0.0040985              0      -0.004144
       253      0.0030936              0     -0.0031695              0     -0.0034446              0     -0.0031695              0     -0.0043926
       254      0.0037224              0     -0.0022017              0     -0.0032117              0     -0.0022017              0     -0.0045977
       255      0.0042882              0     -0.0012032              0      -0.002958              0     -0.0012032              0     -0.0047572
       256      0.0047883              0    -0.00018268              0     -0.0026855              0    -0.00018268              0     -0.0048691
       257      0.0052212              0     0.00085113              0     -0.0023962              0     0.00085113              0     -0.0049322
       258      0.0055857              0      0.0018891              0     -0.0020924              0      0.0018891              0     -0.0049459
       259      0.0058817              0      0.0029221              0     -0.0017764              0      0.0029221              0     -0.0049099
       260      0.0061096              0      0.0039407              0     -0.0014508              0      0.0039407              0     -0.0048248
       261      0.0062706              0      0.0049358              0      -0.001118              0      0.0049358              0     -0.0046913
       262      0.0063665              0      0.0058981              0    -0.00078055              0      0.0058981              0     -0.0045112
       263      0.0063998              0      0.0068189              0    -0.00044115              0      0.0068189              0     -0.0042862
       264      0.0063735              0      0.0076893              0    -0.00010233              0      0.0076893              0      -0.004019
       265      0.0062912              0      0.0085011              0     0.00023332              0      0.0085011              0     -0.0037125
       266      0.0061571              0      0.0092465              0     0.00056328              0      0.0092465              0       -0.00337
       267      0.0059757              0      0.0099181              0     0.00088509              0      0.0099181              0     -0.0029953
       268       0.005752              0       0.010509              0      0.0011964              0       0.010509              0     -0.0025924
       269      0.0054911              0       0.011014              0      0.0014949              0       0.011014              0     -0.0021658
       270      0.0051987              0       0.011427              0      0.0017786              0       0.011427              0     -0.0017201
       271      0.0048803              0       0.011744              0      0.0020453              0       0.011744              0     -0.0012601
       272      0.0045418              0       0.011962              0      0.0022934              0       0.011962              0    -0.00079063
       273      0.0041889              0       0.012076              0      0.0025212              0       0.012076              0    -0.00031673
       274      0.0038276              0       0.012087              0      0.0027273              0       0.012087              0     0.00015659
       275      0.0034636              0       0.011992              0      0.0029104              0       0.011992              0     0.00062441
       276      0.0031022              0       0.011792              0      0.0030696              0       0.011792              0      0.0010818
       277       0.002749              0       0.011488              0      0.0032039              0       0.011488              0      0.0015242
       278      0.0024088              0       0.011083              0       0.003313              0       0.011083              0      0.0019471
       279      0.0020865              0       0.010578              0      0.0033963              0       0.010578              0      0.0023462
       280      0.0017862              0      0.0099786              0      0.0034539              0      0.0099786              0      0.0027177
       281      0.0015119              0      0.0092891              0      0.0034858              0      0.0092891              0       0.003058
       282      0.0012669              0      0.0085153              0      0.0034924              0      0.0085153              0      0.0033639
       283       0.001054              0      0.0076638              0      0.0034742              0      0.0076638              0      0.0036329
       284     0.00087563              0       0.006742              0       0.003432              0       0.006742              0      0.0038625
       285     0.00073349              0       0.005758              0      0.0033667              0       0.005758              0      0.0040511
       286     0.00062876              0      0.0047203              0      0.0032795              0      0.0047203              0      0.0041974
