%     time           SY11           SY12           SY13           SY22           SY23           SY33
    0.2026              0              0    -1.0158e-21              0     4.5046e-05              0
    0.2028              0              0    -1.0164e-21              0     4.2406e-05              0
     0.203              0              0    -1.0171e-21              0     3.9762e-05              0
    0.2032              0              0    -1.0178e-21              0     3.7122e-05              0
    0.2034              0              0    -1.0185e-21              0     3.4482e-05              0
    0.2036              0              0    -1.0192e-21              0     3.1826e-05              0
    0.2038              0              0    -1.0199e-21              0     2.9124e-05              0
     0.204              0              0    -1.0206e-21              0     2.6329e-05              0
    0.2042              0              0    -1.0214e-21              0      2.338e-05              0
    0.2044              0              0    -1.0221e-21              0     2.0197e-05              0
    0.2046              0              0    -1.0228e-21              0      1.668e-05              0
    0.2048              0              0    -1.0236e-21              0     1.2718e-05              0
     0.205              0              0    -1.0243e-21              0     8.1773e-06              0
    0.2052              0              0    -1.0251e-21              0     2.9146e-06              0
    0.2054              0              0    -1.0258e-21              0    -3.2283e-06              0
    0.2056              0              0    -1.0266e-21              0    -1.0419e-05              0
    0.2058              0              0    -1.0273e-21              0     -1.883e-05              0
     0.206              0              0    -1.0281e-21              0    -2.8637e-05              0
    0.2062              0              0    -1.0289e-21              0    -4.0015e-05              0
    0.2064              0              0    -1.0296e-21              0    -5.3128e-05              0
    0.2066              0              0    -1.0304e-21              0    -6.8131e-05              0
    0.2068              0              0    -1.0312e-21              0    -8.5159e-05              0
     0.207              0              0    -1.0319e-21              0    -0.00010432              0
    0.2072              0              0    -1.0327e-21              0    -0.00012571              0
    0.2074              0              0    -1.0334e-21              0    -0.00014936              0
    0.2076              0              0    -1.0342e-21              0    -0.00017528              0
    0.2078              0              0    -1.0349e-21              0    -0.00020344              0
     0.208              0              0    -1.0357e-21              0    -0.00023376              0
    0.2082              0              0    -1.0364e-21              0    -0.00026608              0
    0.2084              0              0    -1.0372e-21              0    -0.00030023              0
    0.2086              0              0    -1.0379e-21              0    -0.00033595              0
    0.2088              0              0    -1.0386e-21              0    -0.00037295              0
     0.209              0              0    -1.0394e-21              0    -0.00041087              0
    0.2092              0              0    -1.0401e-21              0    -0.00044931              0
    0.2094              0              0    -1.0408e-21              0    -0.00048781              0
    0.2096              0              0    -1.0415e-21              0    -0.00052588              0
    0.2098              0              0    -1.0422e-21              0      -0.000563              0
      0.21              0              0    -1.0429e-21              0    -0.00059861              0
    0.2102              0              0    -1.0436e-21              0    -0.00063214              0
    0.2104              0              0    -1.0443e-21              0    -0.00066301              0
    0.2106              0              0    -1.0449e-21              0    -0.00069065              0
    0.2108              0              0    -1.0456e-21              0    -0.00071449              0
     0.211              0              0    -1.0462e-21              0    -0.00073399              0
    0.2112              0              0    -1.0469e-21              0    -0.00074866              0
    0.2114              0              0    -1.0475e-21              0    -0.00075803              0
    0.2116              0              0    -1.0481e-21              0    -0.00076171              0
    0.2118              0              0    -1.0487e-21              0    -0.00075937              0
     0.212              0              0    -1.0493e-21              0    -0.00075075              0
    0.2122              0              0    -1.0499e-21              0     -0.0007357              0
    0.2124              0              0    -1.0504e-21              0    -0.00071412              0
    0.2126              0              0     -1.051e-21              0    -0.00068603              0
