%        w            U11            U12            U13            U21            U22            U23            U31            U32            U33
       224     1.3678e-10              0    -2.1247e-11              0    -4.3691e-10              0     6.3726e-11              0    -2.6327e-12
       225     1.1815e-10              0    -3.0546e-11              0    -4.0474e-10              0     7.2335e-11              0     2.0377e-11
       226     9.9078e-11              0    -3.9462e-11              0    -3.6869e-10              0     8.0079e-11              0     4.2709e-11
       227       7.97e-11              0    -4.7928e-11              0    -3.2914e-10              0      8.686e-11              0     6.4145e-11
       228     6.0165e-11              0     -5.588e-11              0     -2.865e-10              0     9.2592e-11              0     8.4477e-11
       229     4.0622e-11              0    -6.3261e-11              0    -2.4123e-10              0     9.7199e-11              0     1.0351e-10
       230     2.1213e-11              0    -7.0018e-11              0    -1.9379e-10              0     1.0062e-10              0     1.2108e-10
       231     2.0776e-12              0    -7.6102e-11              0    -1.4467e-10              0     1.0281e-10              0     1.3701e-10
       232    -1.6649e-11              0    -8.1474e-11              0    -9.4387e-11              0     1.0373e-10              0     1.5119e-10
       233    -3.4837e-11              0    -8.6099e-11              0     -4.344e-11              0     1.0337e-10              0     1.6349e-10
       234    -5.2366e-11              0     -8.995e-11              0     7.6534e-12              0     1.0171e-10              0     1.7383e-10
       235    -6.9119e-11              0    -9.3006e-11              0     5.8378e-11              0      9.878e-11              0     1.8213e-10
       236    -8.4991e-11              0    -9.5254e-11              0     1.0823e-10              0     9.4595e-11              0     1.8836e-10
       237    -9.9888e-11              0    -9.6689e-11              0     1.5671e-10              0     8.9196e-11              0     1.9248e-10
       238    -1.1372e-10              0    -9.7311e-11              0     2.0334e-10              0     8.2639e-11              0      1.945e-10
       239    -1.2641e-10              0    -9.7128e-11              0     2.4767e-10              0      7.499e-11              0     1.9444e-10
       240    -1.3791e-10              0    -9.6157e-11              0     2.8926e-10              0      6.633e-11              0     1.9235e-10
       241    -1.4814e-10              0     -9.442e-11              0     3.2772e-10              0     5.6752e-11              0     1.8829e-10
       242    -1.5708e-10              0    -9.1945e-11              0     3.6269e-10              0     4.6358e-11              0     1.8235e-10
       243    -1.6469e-10              0    -8.8767e-11              0     3.9383e-10              0     3.5261e-11              0     1.7464e-10
       244    -1.7095e-10              0    -8.4928e-11              0     4.2086e-10              0     2.3582e-11              0     1.6527e-10
       245    -1.7586e-10              0    -8.0473e-11              0     4.4354e-10              0     1.1448e-11              0     1.5438e-10
       246    -1.7942e-10              0    -7.5453e-11              0     4.6167e-10              0    -1.0048e-12              0     1.4213e-10
       247    -1.8165e-10              0    -6.9925e-11              0      4.751e-10              0     -1.364e-11              0     1.2868e-10
       248    -1.8258e-10              0    -6.3947e-11              0     4.8372e-10              0    -2.6316e-11              0     1.1419e-10
       249    -1.8224e-10              0    -5.7581e-11              0     4.8749e-10              0    -3.8892e-11              0     9.8854e-11
       250    -1.8068e-10              0    -5.0894e-11              0     4.8641e-10              0    -5.1226e-11              0     8.2849e-11
       251    -1.7796e-10              0    -4.3952e-11              0     4.8051e-10              0    -6.3178e-11              0     6.6368e-11
       252    -1.7413e-10              0    -3.6824e-11              0     4.6989e-10              0    -7.4613e-11              0     4.9601e-11
       253    -1.6927e-10              0    -2.9577e-11              0      4.547e-10              0      -8.54e-11              0     3.2735e-11
       254    -1.6346e-10              0    -2.2282e-11              0     4.3512e-10              0    -9.5414e-11              0     1.5958e-11
       255    -1.5678e-10              0    -1.5005e-11              0     4.1137e-10              0    -1.0454e-10              0    -5.4924e-13
       256    -1.4932e-10              0    -7.8144e-12              0     3.8374e-10              0    -1.1267e-10              0    -1.6613e-11
       257    -1.4117e-10              0    -7.7392e-13              0     3.5252e-10              0    -1.1971e-10              0    -3.2066e-11
       258    -1.3242e-10              0     6.0541e-12              0     3.1805e-10              0    -1.2557e-10              0    -4.6755e-11
       259    -1.2317e-10              0     1.2611e-11              0      2.807e-10              0    -1.3019e-10              0    -6.0536e-11
       260    -1.1352e-10              0     1.8841e-11              0     2.4088e-10              0    -1.3349e-10              0    -7.3278e-11
