%        w           SZ11           SZ12           SZ13           SZ21           SZ22           SZ23           SZ31           SZ32           SZ33
       261      0.0039824              0     -0.0035021              0     0.00064293              0     -0.0035021              0     -0.0019046
       262      0.0036547              0     -0.0030579              0      0.0006988              0     -0.0030579              0      -0.001462
       263      0.0033015              0     -0.0025908              0      0.0007493              0     -0.0025908              0     -0.0010061
       264      0.0029271              0     -0.0021071              0     0.00079415              0     -0.0021071              0    -0.00054155
       265      0.0025358              0     -0.0016132              0     0.00083313              0     -0.0016132              0      -7.31e-05
       266      0.0021324              0     -0.0011156              0     0.00086605              0     -0.0011156              0     0.00039444
       267      0.0017213              0    -0.00062041              0     0.00089277              0    -0.00062041              0     0.00085626
       268      0.0013072              0    -0.00013397              0      0.0009132              0    -0.00013397              0      0.0013076
       269     0.00089465              0     0.00033782              0     0.00092727              0     0.00033782              0      0.0017439
       270     0.00048811              0     0.00078927              0     0.00093499              0     0.00078927              0      0.0021605
       271     9.1873e-05              0      0.0012151              0     0.00093639              0      0.0012151              0      0.0025533
       272     -0.0002899              0      0.0016104              0     0.00093157              0      0.0016104              0      0.0029181
       273    -0.00065334              0      0.0019707              0     0.00092064              0      0.0019707              0      0.0032513
       274    -0.00099481              0      0.0022923              0     0.00090377              0      0.0022923              0      0.0035495
       275      -0.001311              0      0.0025717              0     0.00088117              0      0.0025717              0      0.0038096
       276      -0.001599              0      0.0028062              0      0.0008531              0      0.0028062              0      0.0040289
       277     -0.0018562              0      0.0029938              0     0.00081981              0      0.0029938              0      0.0042054
       278     -0.0020804              0      0.0031329              0     0.00078165              0      0.0031329              0      0.0043374
       279     -0.0022699              0      0.0032229              0     0.00073894              0      0.0032229              0      0.0044234
       280     -0.0024234              0      0.0032636              0     0.00069205              0      0.0032636              0      0.0044629
       281       -0.00254              0      0.0032555              0     0.00064139              0      0.0032555              0      0.0044556
       282     -0.0026193              0      0.0031999              0     0.00058737              0      0.0031999              0      0.0044017
       283     -0.0026614              0      0.0030984              0     0.00053042              0      0.0030984              0      0.0043021
       284     -0.0026668              0      0.0029536              0     0.00047099              0      0.0029536              0      0.0041579
       285     -0.0026364              0      0.0027684              0     0.00040953              0      0.0027684              0       0.003971
       286     -0.0025716              0      0.0025461              0      0.0003465              0      0.0025461              0      0.0037436
       287     -0.0024742              0      0.0022908              0     0.00028238              0      0.0022908              0      0.0034783
       288     -0.0023463              0      0.0020068              0     0.00021763              0      0.0020068              0      0.0031782
       289     -0.0021905              0      0.0016987              0      0.0001527              0      0.0016987              0      0.0028467
       290     -0.0020094              0      0.0013715              0     8.8061e-05              0      0.0013715              0      0.0024876
       291     -0.0018063              0      0.0010304              0     2.4145e-05              0      0.0010304              0      0.0021051
       292     -0.0015844              0     0.00068065              0    -3.8612e-05              0     0.00068065              0      0.0017034
       293     -0.0013473              0      0.0003277              0    -9.9798e-05              0      0.0003277              0      0.0012871
